iris_code,iris_name,iris_commune,arrondissement,iris_surface_m2,shops_count,food_stores_count,restaurants_count,loisir_count,pharmacies_count,colleges_count,schools_count,lycees_count,hospitals_count,green_spaces_count,sports_count,health_services,education_sites,sports_sites,local_life_sites,health_density,education_density,sport_density,vibrance_density,green_space_density,avg_noise_db
751114310,Roquette 10,Paris 11e Arrondissement,11,45694.34999992302,94,5,25,12,0,0,0,2,0,0,10,0,2,10,42,0.0,43.769087425543184,218.84543712771594,919.1508359364069,0.0,41.28
751114311,Roquette 11,Paris 11e Arrondissement,11,61376.37500004686,149,11,71,12,0,0,0,0,1,0,7,1,0,7,94,16.29291400802404,0.0,114.05039805616829,1531.53391675426,0.0,41.28
751114312,Roquette 12,Paris 11e Arrondissement,11,75326.07000029467,136,15,53,17,2,0,0,0,0,1,3,2,0,3,85,26.551232528023515,0.0,39.82684879203527,1128.4273824409995,13.275616264011758,41.28
751114313,Roquette 13,Paris 11e Arrondissement,11,51057.34000020989,74,13,23,9,1,0,2,0,0,0,1,1,2,1,45,19.585822528080957,39.171645056161914,19.585822528080957,881.3620137636432,0.0,41.28
751114314,Roquette 14,Paris 11e Arrondissement,11,56296.18999981305,74,7,24,4,0,0,1,1,3,0,2,3,2,2,35,53.289574303517924,35.52638286901195,35.52638286901195,621.7117002077091,0.0,41.28
751114315,Roquette 15,Paris 11e Arrondissement,11,63783.124999936,62,16,16,3,1,0,0,0,0,1,2,1,0,2,35,15.678128031528768,0.0,31.356256063057536,548.7344811035068,15.678128031528768,41.28
751114316,Roquette 16,Paris 11e Arrondissement,11,44569.13000005251,105,18,30,9,2,0,0,0,0,0,0,2,0,0,57,44.87410905255821,0.0,0.0,1278.912107997909,0.0,41.28
751114317,Roquette 17,Paris 11e Arrondissement,11,58823.62999990863,66,10,14,3,5,0,2,0,0,1,2,5,2,2,27,84.99985465038057,33.999941860152234,33.999941860152234,458.99921511205514,16.999970930076117,41.28
751114318,Roquette 18,Paris 11e Arrondissement,11,41662.05000014369,79,12,13,7,1,0,0,0,0,1,0,1,0,0,32,24.002659494589228,0.0,0.0,768.0851038268553,24.002659494589228,41.28
751114319,Roquette 19,Paris 11e Arrondissement,11,58865.750000161745,16,3,3,0,1,0,2,0,2,4,3,3,2,3,6,50.96342100443393,33.97561400295596,50.96342100443393,101.92684200886787,67.95122800591191,41.28
751114302,Roquette 2,Paris 11e Arrondissement,11,90752.69999992111,44,6,16,3,1,0,1,0,0,2,2,1,1,2,25,11.018955909861296,11.018955909861296,22.03791181972259,275.47389774653243,22.03791181972259,41.28
751114320,Roquette 20,Paris 11e Arrondissement,11,49550.745000255985,56,5,17,5,2,1,3,1,1,0,0,3,5,0,27,60.543993838730415,100.90665639788402,0.0,544.8959445485737,0.0,41.28
751114321,Roquette 21,Paris 11e Arrondissement,11,50468.67000019819,34,3,10,3,0,0,0,0,1,0,1,1,0,1,16,19.814272894373342,0.0,19.814272894373342,317.0283663099735,0.0,41.28
751114303,Roquette 3,Paris 11e Arrondissement,11,37756.52000017541,27,4,6,1,0,0,0,0,0,0,1,0,0,1,11,0.0,0.0,26.485491777191175,291.34040954910296,0.0,41.28
751114304,Roquette 4,Paris 11e Arrondissement,11,38871.49000013581,27,1,6,2,3,0,0,0,0,0,0,3,0,0,9,77.17738630522058,0.0,0.0,231.53215891566174,0.0,41.28
751114305,Roquette 5,Paris 11e Arrondissement,11,88339.7350004261,108,24,27,8,3,1,1,0,0,2,6,3,2,6,59,33.959803026186684,22.63986868412446,67.91960605237337,667.8761261816716,22.63986868412446,41.28
751114306,Roquette 6,Paris 11e Arrondissement,11,67828.76499999486,146,14,41,23,11,0,0,0,1,2,7,12,0,7,78,176.91609157266697,0.0,103.20105341738906,1149.9545952223352,29.486015262111163,41.28
751114307,Roquette 7,Paris 11e Arrondissement,11,56906.259999663576,70,22,20,4,3,0,3,0,0,0,8,3,3,8,46,52.718277391937825,52.718277391937825,140.58207304516753,808.3469200097134,0.0,41.28
751114308,Roquette 8,Paris 11e Arrondissement,11,39876.32000036973,47,5,12,7,1,0,0,0,0,0,0,1,0,0,24,25.077539752683503,0.0,0.0,601.860954064404,0.0,41.28
751114309,Roquette 9,Paris 11e Arrondissement,11,46239.785000271106,37,4,8,4,0,0,3,0,0,1,1,0,3,1,16,0.0,64.87919439898803,21.62639813299601,346.02237012793614,21.62639813299601,41.28
751114201,Saint-Ambroise 1,Paris 11e Arrondissement,11,71825.29000032853,60,11,24,7,2,1,0,1,0,0,10,2,2,10,42,27.845345281457995,27.845345281457995,139.22672640728996,584.7522509106178,0.0,41.28
751114210,Saint-Ambroise 10,Paris 11e Arrondissement,11,62927.44000009882,108,18,34,17,2,0,1,0,0,1,0,2,1,0,69,31.782637272338736,15.891318636169368,0.0,1096.5009858956864,15.891318636169368,41.28
751114211,Saint-Ambroise 11,Paris 11e Arrondissement,11,40262.03000028369,47,3,12,5,0,0,1,0,1,0,0,1,1,0,20,24.83729707600322,24.83729707600322,0.0,496.74594152006443,0.0,41.28
