X,Y,nom,id,objectid,numero_uai,appellatio,patronyme_,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,localisati,nature_uai,nature_u_1,code_depar,code_acade,code_commu
643664.100000001,6853740.8045,Ecole maternelle publique Maria Brignole de Galliera,0920475S,2649,0920475S,Ecole maternelle publique Maria Brignole de Galliera,MARIA BRIGNOLE DE GALLIERA,Public,47 rue du Commandant Duval, , ,92140,CLAMART,Clamart,Numéro de rue,101,ECOLE MATERNELLE,92,25,92023
643777.100000001,6865191.4045,Ecole maternelle publique Marius Jacotot,0920480X,2650,0920480X,Ecole maternelle publique Marius Jacotot,MARIUS JACOTOT,Public,4 rue Charles Lorilleux, , ,92800,PUTEAUX,Puteaux,Numéro de rue,101,ECOLE MATERNELLE,92,25,92062
642014.0,6862791.6045,Ecole maternelle publique Edouard Vaillant,0920482Z,2651,0920482Z,Ecole maternelle publique Edouard Vaillant,EDOUARD VAILLANT,Public,10  AVENUE EDOUARD VAILLANT, , ,92150,SURESNES,Suresnes,Numéro de rue,101,ECOLE MATERNELLE,92,25,92073
648742.899999999,6855237.5045,Ecole maternelle publique Paul Langevin,0920486D,2652,0920486D,Ecole maternelle publique Paul Langevin,PAUL LANGEVIN,Public,7 rue Louis Charles Boileau, , ,92220,BAGNEUX,Bagneux,Numéro de rue,101,ECOLE MATERNELLE,92,25,92007
644210.0,6867848.6045,Ecole maternelle publique Ernest Renan,0920491J,2653,0920491J,Ecole maternelle publique Ernest Renan,ERNEST RENAN,Public,16 rue Fernand Drouilly, , ,92250,LA GARENNE COLOMBES,La Garenne-Colombes,Numéro de rue,101,ECOLE MATERNELLE,92,25,92035
644159.0,6860612.7045,Ecole maternelle publique Fessart,0920492K,2654,0920492K,Ecole maternelle publique Fessart,FESSART,Public,34 rue Fessart, , ,92100,BOULOGNE BILLANCOURT,Boulogne-Billancourt,Numéro de rue,101,ECOLE MATERNELLE,92,25,92012
651012.600000001,6870396.2045,Ecole maternelle publique Jules Verne,0920494M,2655,0920494M,Ecole maternelle publique Jules Verne,JULES VERNE,Public,Rue du Fond de la Noue, , ,92390,VILLENEUVE LA GARENNE,Villeneuve-la-Garenne,Rue,101,ECOLE MATERNELLE,92,25,92078
645042.200000003,6852031.3045,Ecole maternelle publique Suzanne Buisson,0920496P,2656,0920496P,Ecole maternelle publique Suzanne Buisson,SUZANNE BUISSON,Public,6 avenue Saint-Exupéry, , ,92290,CHATENAY MALABRY,Châtenay-Malabry,Numéro de rue,101,ECOLE MATERNELLE,92,25,92019
647349.100000001,6856269.4045,Ecole maternelle publique Gay Lussac,0920502W,2657,0920502W,Ecole maternelle publique Gay Lussac,GAY-LUSSAC,Public,20 rue Gay-Lussac, , ,92320,CHATILLON,Châtillon,Numéro de rue,101,ECOLE MATERNELLE,92,25,92020
642014.100000001,6866514.9045,Ecole maternelle publique Honoré de Balzac,0920507B,2658,0920507B,Ecole maternelle publique Honoré de Balzac,BALZAC,Public,14 boulevard Honoré de Balzac, , ,92000,NANTERRE,Nanterre,Numéro de rue,101,ECOLE MATERNELLE,92,25,92050
645835.799999997,6854838.2045,Ecole maternelle publique Jardin Parisien,0920508C,2659,0920508C,Ecole maternelle publique Jardin Parisien,JARDIN PARISIEN,Public,Place du 8 Mai 1945, , ,92140,CLAMART,Clamart,Rue,101,ECOLE MATERNELLE,92,25,92023
646314.700000003,6856772.0045,Ecole maternelle publique Jules Ferry,0920509D,2660,0920509D,Ecole maternelle publique Jules Ferry,JULES FERRY,Public,154 avenue Jean Jaurès, , ,92140,CLAMART,Clamart,Numéro de rue,101,ECOLE MATERNELLE,92,25,92023
646030.899999999,6851705.1045,Ecole maternelle publique Thomas Masaryk,0920531C,2661,0920531C,Ecole maternelle publique Thomas Masaryk,THOMAS MASARYK,Public,4 rue Marie Bonnevial, , ,92290,CHATENAY MALABRY,Châtenay-Malabry,Numéro de rue,101,ECOLE MATERNELLE,92,25,92019
645601.5,6866380.9045,Ecole maternelle publique Sonia Delaunay,0920535G,2662,0920535G,Ecole maternelle publique Sonia Delaunay,SONIA DELAUNAY,Public,51 rue Victor Hugo, , ,92400,COURBEVOIE,Courbevoie,Numéro de rue,101,ECOLE MATERNELLE,92,25,92026
648087.399999999,6869412.3045,Ecole maternelle publique Irène et Frédéric Joliot-Curie,0920554C,2663,0920554C,Ecole maternelle publique Irène et Frédéric Joliot-Curie,IRENE ET FREDERIC JOLIOT-CURIE,Public,9à13 rue Marcel Lamour, , ,92230,GENNEVILLIERS,Gennevilliers,Numéro de rue,101,ECOLE MATERNELLE,92,25,92036
641520.799999997,6862739.2045,Ecole maternelle publique Wilson,0920555D,2664,0920555D,Ecole maternelle publique Wilson,WILSON,Public,6 avenue du Président Wilson, , ,92150,SURESNES,Suresnes,Numéro de rue,101,ECOLE MATERNELLE,92,25,92073
649966.100000001,6853012.9045,Ecole maternelle publique La Fontaine Grelot,0920561K,2665,0920561K,Ecole maternelle publique La Fontaine Grelot,LA FONTAINE GRELOT,Public,13 rue de la Fontaine Grelot, , ,92340,BOURG LA REINE,Bourg-la-Reine,Numéro de rue,101,ECOLE MATERNELLE,92,25,92014
640734.299999997,6865868.5045,Ecole maternelle publique Danielle Casanova,0920579E,2666,0920579E,Ecole maternelle publique Danielle Casanova,DANIELLE CASANOVA,Public,28 rue Thomas Lemaître, , ,92000,NANTERRE,Nanterre,Numéro de rue,101,ECOLE MATERNELLE,92,25,92050
652194.5,6859472.5045,Ecole primaire privée Ozar Hatorah,0755683V,2667,0755683V,Ecole primaire privée Ozar Hatorah,OZAR HATORAH,Privé,31 rue des Cordelières, , ,75013,PARIS,Paris 13e  Arrondissement,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75113
655788.700000003,6853785.1045,Ecole primaire Makarenko B,0940766X,2668,0940766X,Ecole primaire Makarenko B,MAKARENKO B,Public,3 rue Camille Blanc, , ,94400,VITRY SUR SEINE,Vitry-sur-Seine,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94081
661686.600000001,6852219.6045,Ecole maternelle d'application Romain Rolland,0940781N,2669,0940781N,Ecole maternelle d'application Romain Rolland,ROMAIN ROLLAND,Public,1 bis rue ROMAIN ROLLAND, , ,94380,BONNEUIL SUR MARNE,Bonneuil-sur-Marne,Numéro de rue,103,ECOLE MATERNELLE D APPLICATION,94,24,94011
664013.899999999,6850238.5045,Ecole primaire privée Sacrés-Coeurs,0940958F,2670,0940958F,Ecole primaire privée Sacrés-Coeurs,SACRES-COEURS,Privé,2 rue de l'Eglise, , ,94470,BOISSY ST LEGER,Boissy-Saint-Léger,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94004
656246.100000001,6852208.1045,Ecole primaire privée Saint Louis-Blaise Pascal,0940969T,2671,0940969T,Ecole primaire privée Saint Louis-Blaise Pascal,SAINT LOUIS-BLAISE PASCAL,Privé,6 rue de Verdun, , ,94600,CHOISY LE ROI,Choisy-le-Roi,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94022
661161.899999999,6860976.3045,Ecole primaire privée Jeanne d'Arc,0940973X,2672,0940973X,Ecole primaire privée Jeanne d'Arc,JEANNE D'ARC,Privé,8 rue Charles Bassée, , ,94120,FONTENAY SOUS BOIS,Fontenay-sous-Bois,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94033
663307.200000003,6861414.2045,Ecole primaire privée Notre-Dame de Toutes Graces,0940985K,2673,0940985K,Ecole primaire privée Notre-Dame de Toutes Graces,NOTRE-DAME DE TOUTES GRACES,Privé,14 rue de la Cascade, , ,94170,LE PERREUX SUR MARNE,Le Perreux-sur-Marne,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94058
657193.5,6860039.5045,Ecole primaire privée Notre-Dame,0940996X,2674,0940996X,Ecole primaire privée Notre-Dame,NOTRE-DAME,Privé,22 rue Guynemer, , ,94160,ST MANDE,Saint-Mandé,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94067
666839.799999997,6856271.9045,Ecole primaire Jacques Solomon B,0941057N,2675,0941057N,Ecole primaire Jacques Solomon B,JACQUES SOLOMON B,Public,1 rue JACQUES SOLOMON, , ,94500,CHAMPIGNY SUR MARNE,Champigny-sur-Marne,Rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94017
660377.299999997,6850075.3045,Ecole primaire Henri Wallon,0941115B,2676,0941115B,Ecole primaire Henri Wallon,HENRI WALLON,Public,6 allée Darius Milhaud, , ,94460,VALENTON,Valenton,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94074
661672.299999997,6861228.6045,Ecole primaire Romain Rolland,0941124L,2677,0941124L,Ecole primaire Romain Rolland,ROMAIN ROLLAND,Public,Allée Maxime Gorki, , ,94120,FONTENAY SOUS BOIS,Fontenay-sous-Bois,Rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94033
