objectid,numero_uai,appellatio,denominati,patronyme_,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,appariemen,localisati,nature_uai,etat_eta_1,code_depar,code_acade,code_commu,libelle_de,libelle_ac,contrat,id,nom,x,y
58,0750662M,Lycée général Victor Duruy,LYCEE GENERAL,VICTOR DURUY,Public,33  BOULEVARD DES INVALIDES, , ,75007,PARIS,Paris  7e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75107,Paris,Paris,Public,0750662M,Lycée général Victor Duruy,649724.200039,6861579.30453
59,0750664P,Lycée général et technologique Racine,LYCEE GENERAL ET TECHNOLOGIQUE,RACINE,Public,20 rue DU ROCHER, , ,75008,PARIS,Paris  8e  Arrondissement,Parfaite,Numéro de rue,300,OUVERT,75,01,75108,Paris,Paris,Public,0750664P,Lycée général et technologique Racine,650293.500039,6864261.50453
60,0750673Z,Lycée général Colbert,LYCEE GENERAL,COLBERT,Public,27 rue DE CHATEAU LANDON, , ,75010,PARIS,Paris 10e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75110,Paris,Paris,Public,0750673Z,Lycée général Colbert,653314.900037,6864930.40453
61,0750677D,Lycée polyvalent Elisa Lemonnier,LYCEE POLYVALENT,ELISA LEMONNIER,Public,20 avenue ARMAND ROUSSEAU, , ,75012,PARIS,Paris 12e  Arrondissement,Parfaite,Numéro de rue,306,OUVERT,75,01,75112,Paris,Paris,Public,0750677D,Lycée polyvalent Elisa Lemonnier,656657.000034,6859781.30453
62,0750679F,Lycée général Paul Valéry,LYCEE GENERAL,PAUL VALERY,Public,38 boulevard SOULT, , ,75012,PARIS,Paris 12e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75112,Paris,Paris,Public,0750679F,Lycée général Paul Valéry,656635.500034,6860138.20453
63,0750686N,Ecole Estienne Ecole supérieure des Arts et Industries Graphiques,LYCEE TECHNOLOGIQUE,ESTIENNE ESAIG,Public,18 BOULEVARD AUGUSTE BLANQUI, , ,75013,PARIS,Paris 13e  Arrondissement,Parfaite,Numéro de rue,301,OUVERT,75,01,75113,Paris,Paris,Public,0750686N,Ecole Estienne Ecole supérieure des Arts et Industries Graphiques,652461.900037,6859163.40453
64,0750699C,Lycée général Janson de Sailly,LYCEE GENERAL,JANSON DE SAILLY,Public,106 rue DE LA POMPE, , ,75016,PARIS,Paris 16e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75116,Paris,Paris,Public,0750699C,Lycée général Janson de Sailly,647139.800041,6863076.70453
65,0750702F,Lycée général Jean de La Fontaine,LYCEE GENERAL,JEAN DE LA FONTAINE,Public,1 place DE LA PORTE MOLITOR, , ,75016,PARIS,Paris 16e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75116,Paris,Paris,Public,0750702F,Lycée général Jean de La Fontaine,645440.700043,6860828.40453
66,0750704H,Lycée général Carnot,LYCEE GENERAL,CARNOT,Public,145 BOULEVARD MALESHERBES, , ,75017,PARIS,Paris 17e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75117,Paris,Paris,Public,0750704H,Lycée général Carnot,649240.90004,6865163.60453
67,0750711R,Lycée général et technologique Henri Bergson,LYCEE GENERAL ET TECHNOLOGIQUE,HENRI BERGSON,Public,27 RUE EDOUARD PAILLERON, , ,75019,PARIS,Paris 19e  Arrondissement,Parfaite,Numéro de rue,300,OUVERT,75,01,75119,Paris,Paris,Public,0750711R,Lycée général et technologique Henri Bergson,654378.100036,6864746.30453
68,0750775K,Lycée professionnel Gustave Ferrié,LYCEE PROFESSIONNEL,GUSTAVE FERRIE,Public,7 rue DES ECLUSES ST MARTIN, , ,75010,PARIS,Paris 10e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75110,Paris,Paris,Public,0750775K,Lycée professionnel Gustave Ferrié,653601.900036,6864237.80453
69,0750783U,Lycée professionnel Chennevière Malezieux,LYCEE PROFESSIONNEL,CHENNEVIERE MALEZIEUX,Public,33 avenue LEDRU ROLLIN, , ,75012,PARIS,Paris 12e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75112,Paris,Paris,Public,0750783U,Lycée professionnel Chennevière Malezieux,653775.200036,6860992.70453
70,0750788Z,Lycée professionnel Marcel Deprez,LP LYCEE DES METIERS,MARCEL DEPREZ,Public,39 rue de la Roquette, , ,75011,PARIS,Paris 11e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75111,Paris,Paris,Public,0750788Z,Lycée professionnel Marcel Deprez,654040.200036,6861872.10453
