objectid,commune_code,postal_code,x_coord,y_coord,adresse_ua,appellatio,denominati,etat_eta_1,libelle_de,numero_uai,secteur_pu
188,75117,75017,648937.10004,6864750.60453,20 rue MEDERIC,Lycée professionnel Hôtelier Drouant,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0751716H,Public
194,75114,75014,650552.400039,6859472.60453,2 rue PIERRE CASTAGNOU,Lycée Professionnel Erik Satie,LYCEE PROFESSIONNEL,OUVERT,Paris,0752846L,Public
195,75107,75007,648630.50004,6862322.60453,1 RUE DU GENERAL CAMOU,Lycée professionnel Gustave Eiffel,LYCEE PROFESSIONNEL,OUVERT,Paris,0752961L,Public
196,75102,75002,651845.100038,6863512.70453,44 rue DES JEUNEURS,Section d'enseignement professionnel du Lycée polyvalent Jacques Monod,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754874R,Public
197,75109,75009,651250.500038,6864880.50453,24 rue DUPERRE,Section d'enseignement professionnel du Lycée polyvalent Edgar Quinet,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754877U,Public
198,75111,75011,654141.400036,6861794.80453,19 rue DES TAILLANDIERS,Section d'enseignement professionnel du Lycée polyvalent Paul Poiret,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754979E,Public
218,75112,75012,655276.800035,6861039.10453,119 boulevard DIDEROT,Lycée technologique privé Institut clorivière,LYCEE TECHNOLOGIQUE PRIVE,OUVERT,Paris,0751883P,Privé
219,75116,75016,646462.900042,6862182.70453,23 BOULEVARD BEAUSEJOUR,Cours Beauséjour (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0752180M,Privé
230,75116,75016,646798.400042,6861656.10453,40 RUE LA FONTAINE,Lycée polyvalent privé Sainte Thérèse,LYCEE POLYVALENT PRIVE,OUVERT,Paris,0753217P,Privé
231,75106,75006,651105.800038,6860312.40453,109 RUE NOTRE DAME DES CHAMPS,Ecole Alsacienne (Lycée général privé),LYCEE GENERAL PRIVE,OUVERT,Paris,0753647G,Privé
