adresse_complete,latitude,longitude,coordinates,categorie_de_l_etablissement,complement_adresse,cp_ville,num_cat,num_fax,num_tel,participant_service_public_hospitalier,raison_sociale,raison_sociale_entite_juridique,type_etablissement
25 VLA SANTOS DUMONT,48.8337932,2.3049715,"48.8337932,2.3049715",Maison de Santé pour Maladies Mentales,,75015 PARIS,161,142502823,148284333,"Etab de santé privé non lucratif, non déclar intérêt collect",HOPITAL DE JOUR SANTOS-DUMONT,,Autres Etablissements de Lutte contre les Maladies Mentales
96 R DIDOT,48.8272791,2.3144097,"48.8272791,2.3144097",Centre Hospitalier Régional (C.H.R.),,75014 PARIS,101,145147014,143959595,Etablissement public de santé,GPE HOSP BROUSSAIS-HEGP,GPE HOSP BROUSSAIS-HEGP-GPT HOSP UNIVERSITAIRE OUEST,Centres Hospitaliers Régionaux
68 R DES PLANTES,48.8264869,2.3198741,"48.8264869,2.3198741",Etablissement de Soins Pluridisciplinaire,,75014 PARIS,365,153626747,153626666,Etablissement de santé privé d’intérêt collectif,CENTRE PASTEUR VALLERY RADOT,CENTRE PASTEUR VALLERY RADOT DE L'ASSOCIATION AURA,Etablissements de Soins de Courte Durée
178 R DE VAUGIRARD,48.8422161,2.3102443,"48.8422161,2.3102443",Maison de Santé pour Maladies Mentales,,75015 PARIS,161,147043998,153658420,Etablissement de santé privé d’intérêt collectif,HOPITAL DE JOUR VINCENT VAN GOGH,CENTRE DE SANTE MENTALE ET DE READAPTATION DE PARIS MGEN,Autres Etablissements de Lutte contre les Maladies Mentales
16 R DE L'AQUEDUC,48.8805432,2.3601462,"48.8805432,2.3601462",Etablissement Réadaptation Fonctionnelle,,75010 PARIS,135,153262229,153262222,Etablissement de santé privé d’intérêt collectif,URF LEOPOLD BELLAN,UNITE DE REEDUCATION FONCTIONNELLE LEOPOLD BELLAN,Etablissements de Soins de Suite et de Réadaptation
78 R DE PICPUS,48.8416869,2.3981239,"48.8416869,2.3981239",Etablissement de Convalescence et de Repos,,75012 PARIS,108,144687139,144687298,"Etab de santé privé non lucratif, non déclar intérêt collect",FONDATION DE ROTHSCHILD (SSR),SOINS DE SUITE ET DE READAPTATION DE LA FONDATION ROTSCHILD,Etablissements de Soins de Suite et de Réadaptation
95 R MICHEL-ANGE,48.8402399,2.2581138,"48.8402399,2.2581138",Etablissement de Soins Pluridisciplinaire,,75016 PARIS,365,140712452,140712424,Etablissement de santé privé d’intérêt collectif,HOPITAL HENRY DUNANT,HOPITAL HENRY DUNANT DE LA CROIX ROUGE FRANCAISE,Etablissements de Soins de Courte Durée
14 CITE FALGUIÈRE,48.8407824,2.3120565,"48.8407824,2.3120565",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75015 PARIS,292,,145444587,Etablissement public de santé,CENTRE FALGUIERE,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
20 VLA COMPOINT,48.8917305,2.3247595,"48.8917305,2.3247595",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75017 PARIS,292,142294505,142294545,Etablissement public de santé,CENTRE COMPOINT,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
29 R SAINT DIDIER,48.8663942,2.2855778,"48.8663942,2.2855778",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75016 PARIS,292,147554210,147556348,Etablissement public de santé,CENTRE SAINT DIDIER,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
12 R JACQUEMONT,48.8880292,2.3227945,"48.8880292,2.3227945",Centre Médico-Psychologique (C.M.P.),,75017 PARIS,156,153068485,153068484,"Etab de santé privé non lucratif, non déclar intérêt collect",CMP ADULTES FRANÇOISE MINKOWSKA,CENTRE MEDICO-PSYCHOLOGIQUE FRANÇOISE MINKOWSKA (75/G/08),Autres Etablissements de Lutte contre les Maladies Mentales
27 R DE LA JONQUIERE,48.8935347,2.3246893,"48.8935347,2.3246893",Etablissement de Convalescence et de Repos,,75017 PARIS,108,,826961600,Non concerné,CLINIQUE DE LA JONQUIERE,,Etablissements de Soins de Suite et de Réadaptation
36 R D'ASSAS,48.8476081,2.3295914,"48.8476081,2.3295914",Etablissement de Soins Chirurgicaux,,75006 PARIS,128,142220546,144395300,"Etab de santé privé non lucratif, non déclar intérêt collect",INSTITUT ARTHUR VERNES,,Etablissements de Soins de Courte Durée
31T R DE LIÈGE,48.8793965,2.3255331,"48.8793965,2.3255331",Centre Postcure Malades Mentaux,,75008 PARIS,430,142949135,143871559,Etablissement de santé privé d’intérêt collectif,FOYER RELAIS,UNITE D'ACCUEIL ET DE PSYCHOTHERAPIE FAMILIALE,Autres Etablissements de Lutte contre les Maladies Mentales
29 R SARRETTE,48.8263439,2.3294242,"48.8263439,2.3294242",Etablissement de Soins Chirurgicaux,,75014 PARIS,128,156535859,156535858,Non concerné,CLINIQUE SAINTE GENEVIEVE,,Etablissements de Soins de Courte Durée
76 AV EDISON,48.8302065,2.3582458,"48.8302065,2.3582458",Centre Médico-Psychologique (C.M.P.),,75013 PARIS,156,140774355,140774340,Etablissement de santé privé d’intérêt collectif,CMP ENFANTS ALFRED BINET,CENTRE MÉDICO-PSYCHOLOGIQUE ALFRED BINET,Autres Etablissements de Lutte contre les Maladies Mentales
35 R DES CEVENNES,48.8434072,2.2788163,"48.8434072,2.2788163",Maison de Santé pour Maladies Mentales,,75015 PARIS,161,145501255,145581720,"Etab de santé privé non lucratif, non déclar intérêt collect",HÔPITAL DE JOUR AURORE,CENTRE MEDICO SOCIAL CEVENNES AURORE,Autres Etablissements de Lutte contre les Maladies Mentales
164 R DE GRENELLE,48.8580522,2.3089662,"48.8580522,2.3089662",Centre Médico-Psychologique (C.M.P.),,75007 PARIS,156,,145518541,Etablissement public de santé,CMP ENFANTS GRENELLE,CENTRE MEDICO-PSYCHOLOGIQUE PERRAY VAUCLUSE 75 I 09,Autres Etablissements de Lutte contre les Maladies Mentales
68 R DES GRANDS MOULINS,48.8273832,2.3754926,"48.8273832,2.3754926",Maison de Santé pour Maladies Mentales,,75013 PARIS,161,145851344,145852517,Etablissement de santé privé d’intérêt collectif,CLINIQUE MEDICO-UNIVERSITAIRE G.HEUYER,CLINIQUE MEDICO-UNIVERSITAIRE GEORGES HEUYER,Autres Etablissements de Lutte contre les Maladies Mentales
11 AV DU COLONEL BONNET,48.8554944,2.2782396,"48.8554944,2.2782396",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75016 PARIS,292,142307743,142307818,Etablissement public de santé,CENTRE ADULTE BONNET,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
136B R BLOMET,48.8394852,2.2961015,"48.8394852,2.2961015",Etablissement de Soins Chirurgicaux,,75015 PARIS,128,140453760,140453737,Non concerné,CLINIQUE BLOMET,CLINIQUE BLOMET,Etablissements de Soins de Courte Durée
19 R VERCINGETORIX,48.8373764,2.3200169,"48.8373764,2.3200169",Etablissement de Soins Pluridisciplinaire,,75014 PARIS,365,143219813,140486868,Etablissement de santé privé d’intérêt collectif,HOPITAL LEOPOLD BELLAN,HOPITAL LEOPOLD BELLAN,Etablissements de Soins de Courte Durée
89 R HAXO,48.8747633,2.4030507,"48.8747633,2.4030507",Etablissement de Soins Pluridisciplinaire,,75020 PARIS,365,144644302,144644300,Etablissement de santé privé d’intérêt collectif,HOP JOUR CROIX ST SIMON,HOPITAL DE JOUR ET A DOMICILE CROIX SAINT-SIMON,Etablissements de Soins de Courte Durée
20 R BELLIER-DEDOUVRE,48.824971,2.3506495,"48.824971,2.3506495",Centre Médico-Psychologique (C.M.P.),,75013 PARIS,156,,140794970,"Etab de santé privé non lucratif, non déclar intérêt collect",CMP CENTRE PSYCHOSOMATIQUE:IPSO,,Autres Etablissements de Lutte contre les Maladies Mentales
7 R DU BUISSON SAINT-LOUIS,48.8720625,2.3728644,"48.8720625,2.3728644",Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.),,75010 PARIS,425,142000293,142064378,Etablissement public de santé,CATTP ADULTES DENISE GREY,CENTRE D'ACCUEIL THERAPEUTIQUE A TEMPS PARTIEL DENISE GREY,Autres Etablissements de Lutte contre les Maladies Mentales
63 R DE LA ROQUETTE,48.8558373,2.3752069,"48.8558373,2.3752069",Centre Médico-Psychologique (C.M.P.),,75011 PARIS,156,147008905,147005063,Etablissement public de santé,CENTRE LA ROQUETTE,CENTRE MEDICO-PSYCHOLOGIQUE ESQUIROL 75G09 - 75I05,Autres Etablissements de Lutte contre les Maladies Mentales
62 R DE LA TOUR,48.8602135,2.2809349,"48.8602135,2.2809349",Etablissement de Soins Chirurgicaux,,75116 PARIS,128,140724068,140724040,Non concerné,CLINIQUE CHIRURGICALE DU TROCADERO,CLINIQUE CHIRURGICALE DU TROCADERO,Etablissements de Soins de Courte Durée
11 R ALBERT BAYET,48.8305604,2.358838,"48.8305604,2.358838",Centre Médico-Psychologique (C.M.P.),,75013 PARIS,156,,140774400,Etablissement de santé privé d’intérêt collectif,CMP ADULTES PHILIPPE PAUMELLE ASM 13,CMP ADULTES PHILIPPE PAUMELLE -EAU VIVE 75G12,Autres Etablissements de Lutte contre les Maladies Mentales
55 R DU SIMPLON,48.8948404,2.3463234,"48.8948404,2.3463234",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75018 PARIS,292,153092799,153092790,Etablissement public de santé,C.I.A.P.A,CENTRE INTERHOSPITALIER ACCUEIL PERMANENT POUR ADOLESCENTS,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
13 R DU SAHEL,48.8411357,2.4027729,"48.8411357,2.4027729",Maison de Santé pour Maladies Mentales,,75012 PARIS,161,143425042,143458674,"Etab de santé privé non lucratif, non déclar intérêt collect",HOPITAL DE JOUR ENTRAIDE UNIVERSITAIRE,HOPITAL DE JOUR POUR ENFANTS ENTRAIDE UNIVERSITAIRE,Autres Etablissements de Lutte contre les Maladies Mentales
6 R PICOT,48.8709172,2.2821631,"48.8709172,2.2821631",Centre Médico-Psychologique (C.M.P.),,75116 PARIS,156,156261210,156261212,Etablissement public de santé,CENTRE PICOT,,Autres Etablissements de Lutte contre les Maladies Mentales
22 R DU PERE CORENTIN,48.8262492,2.3307716,"48.8262492,2.3307716",Centre Médico-Psychologique (C.M.P.),,75014 PARIS,156,143204899,143271734,Etablissement public de santé,CENTRE ENFANTS CORENTIN,CENTRE MEDICO-PSYCHOLOGIQUE CHS SAINTE ANNE INTERSECTEUR 06,Autres Etablissements de Lutte contre les Maladies Mentales
12 R CHOMEL,48.8519394,2.3249202,"48.8519394,2.3249202",Centre Médico-Psychologique (C.M.P.),,75007 PARIS,156,142223358,142227070,Etablissement public de santé,CMP ENFANTS CHOMEL,CENTRE MÉDICO-PSYCHOLOGIQUE PERRAY-VAUCLUSE 75 I 09,Autres Etablissements de Lutte contre les Maladies Mentales
15 AV DU GENERAL LECLERC,48.832189,2.3307216,"48.832189,2.3307216",Etablissement de Soins Longue Durée,,75014 PARIS,362,,144083000,Etablissement public de santé,MAISON MEDICALE ROCHEFOUCAULT (AP-HP),MAISON DE CURE MEDICALE LA ROCHEFOUCAULT (AP-HP),Etablissements de Soins de Longue Durée
20B R RUE DE DOUAI,48.8819149,2.334349,"48.8819149,2.334349",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75009 PARIS,292,148789280,148780521,Etablissement public de santé,CENTRE RUE DE DOUAI,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
7 R DES GOBELINS,48.8357354,2.3516383,"48.8357354,2.3516383",Centre Postcure Malades Mentaux,,75013 PARIS,430,143363249,143369945,Etablissement public de santé,FOYER DE POST-CURE DES GOBELINS,FOYER DE POST-CURE DES GOBELINS CHS SAINTE ANNE SECTEUR 13,Autres Etablissements de Lutte contre les Maladies Mentales
