commune_name,postal_code,adresse,latitude,longitude,coordinates,accessibilite_de_l_installation_en_faveur_des_personnes_en_situation_de_handicap,accessibilite_de_l_installation_en_transport_en_commun_des_differents_mode,activites,departement_code,nom_de_l_equipement_sportif,nom_de_l_installation_sportive,types_d_amenagements_de_confort
Paris 16e Arrondissement,75016,11 chemin de la croix catelan,48.8637,2.25705,"48.8637, 2.25705",True,,Tennis,75,COURT DE TENNIS EN GAZON NATUREL 3,LAGARDERE PARIS RACING,
Paris 16e Arrondissement,75016,11 chemin de la croix catelan,48.8637,2.25705,"48.8637, 2.25705",True,,Tennis,75,COURT DE TENNIS EN TERRE BATTUE 1,LAGARDERE PARIS RACING,
Paris 13e Arrondissement,75013,99 BOULEVARD KELLERMANN,48.81832,2.345,"48.81832, 2.345",True,"Métro,Bus,Tramway,Train","Handball / Mini hand / Handball de plage,Judo / Jujitsu / Taïso,Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...,Lutte traditionnelle / olympique libre / olympique gréco-romaine / bretonne / féminine,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley",75,GYMNASE PIERRE CHARPY,STADE CHARLETY,Bain(s) bouillonnant(s);Sauna
Paris 12e Arrondissement,75012,11 Avenue du Tremblay,48.8305,2.45243,"48.8305, 2.45243",True,Bus,"Gymnastique Artistique,Trampoline / Double mini-tramp",75,SALLE DE GYMNASTIQUE GAM & GAF - COMPLEXE D'ORIOLA,INSEP,Bain(s) de vapeur / hammam;Bain(s) bouillonnant(s);Sauna;Autre
Paris 12e Arrondissement,75012,11 Avenue du Tremblay,48.83051,2.45246,"48.83051, 2.45246",True,Bus,Gymnastique Rythmique,75,SALLE GR - COMPLEXE D'ORIOLA,INSEP,Bain(s) de vapeur / hammam;Bain(s) bouillonnant(s);Sauna;Autre
Paris 16e Arrondissement,75016,24 AVENUE GORDON BENNET,48.846587,2.25043,"48.846587, 2.25043",True,,Tennis,75,COURT DE TENNIS 1 7,ROLAND GARROS,Bain(s) de vapeur / hammam;Bain(s) bouillonnant(s);Sauna
Paris 13e Arrondissement,75013,2 RUE TAGORE,48.82094,2.36056,"48.82094, 2.36056",False,,Tennis de table,75,PREAU,LYCEE GASTON BACHELARD,
Paris 10e Arrondissement,75010,17 RUE BOY ZELENSKI,48.877401,2.367345,"48.877401, 2.367345",True,"Métro,Bus",Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,75,TERRAIN DE VOLLEY-BALL 2,CENTRE SPORTIF DE LA GRANGE AUX BELLES,
Paris 16e Arrondissement,75016,50 route de l'etoile,48.8724,2.25952,"48.8724, 2.25952",True,"Métro,Bus",Football / Football en salle (Futsal),75,TERRAIN DE FOOTBALL,Association du Cercle du Bois de Boulogne,Bain(s) de vapeur / hammam;Sauna
Paris 5e Arrondissement,75005,QUAI SAINT BERNARD,48.84832,2.35827,"48.84832, 2.35827",True,"Métro,Bus","Activités de forme et de santé,Tai chi chuan / Chi gong",75,SALLE DE RELAXATION,Université PARIS VI - CENTRE SPORTIF JEAN TALBOT,
