objectid,nom,commune_code,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,nature_u_1,patronyme,secteur_pu
229,Ecole primaire privée Ganenou,75111,PARIS,75011,75,655330.399999999,6861429.3045,231 boulevard Voltaire,ECOLE DE NIVEAU ELEMENTAIRE,GANENOU,Privé
230,Ecole primaire privée Yabné-Henri Schilli,75113,PARIS,75013,75,653168.399999999,6857725.6045,29 avenue Léon Bollée,ECOLE DE NIVEAU ELEMENTAIRE,YABNE-HENRI SCHILLI,Privé
231,Ecole élémentaire privée Ohr Kitov Sinai,75117,PARIS,75017,75,648008.0,6865678.7045,9 rue Jacques Ibert,ECOLE DE NIVEAU ELEMENTAIRE,OHR KITOV (SINAI),Privé
232,Ecole élémentaire privée International School Of Paris,75116,PARIS,75016,75,647714.0,6862286.2045,6 BIS RUE BEETHOVEN,ECOLE DE NIVEAU ELEMENTAIRE,INTERNATIONAL SCHOOL OF PARIS,Privé
233,Ecole Maternelle Privée,75115,PARIS,75015,75,649244.0,6860555.2045,7 bis rue Emile Duclaux,ECOLE MATERNELLE,FIRST STEPS,Privé
234,Ecole primaire privée hors contrat La Canopée,75110,PARIS,75010,75,653058.700000003,6863939.6045,21 passage Dubail,ECOLE DE NIVEAU ELEMENTAIRE,LA CANOPEE,Privé
235,Ecole maternelle privée La Petite Ecole du bon Pasteur,75116,PARIS,75016,75,646152.899999999,6861979.5045,90 rue de l'Assomption,ECOLE MATERNELLE,LA PETITE ECOLE DU BON PASTEUR,Privé
236,Ecole Douces Maternelles Bastille,75104,PARIS,75004,75,653336.299999997,6861586.3045,21 rue du Petit Musc,ECOLE MATERNELLE,DOUCES MATERNELLES BASTILLE,Privé
237,Ecole élémentaire privée The Bilingual Montessori School of Paris,75108,PARIS,75008,75,648718.600000001,6863281.0045,23 avenue George V,ECOLE DE NIVEAU ELEMENTAIRE,THE BILINGUAL MONTESSORI SCHOOL OF PARIS,Privé
238,Ecole élémentaire privée Cours du Pont de Pierre,75107,PARIS,75007,75,649309.5,6862341.5045,11 rue de la Comète,ECOLE DE NIVEAU ELEMENTAIRE,COURS DU PONT DE PIERRE,Privé
239,Ecole primaire privée bilingue Alye Parussa,75116,PARIS,75016,75,645977.100000001,6860455.4045,70 rue Chardon Lagache,ECOLE DE NIVEAU ELEMENTAIRE,ECOLE BILINGUE ALYE PARUSSA,Privé
836,Ecole maternelle LITTRE,75106,PARIS,75006,75,650368.0,6860846.0045,6 rue Littré,ECOLE MATERNELLE,LITTRE,Public
837,Ecole primaire A,75118,PARIS,75018,75,651407.299999997,6866904.4045,8 place Francoise Dorléac,ECOLE DE NIVEAU ELEMENTAIRE,FRANCOISE DORLEAC EA,Public
1110,Ecole primaire privée Sainte Elisabeth de Plaisance,75114,PARIS,75014,75,649857.5,6859684.2045,12 rue Croce Spinelli,ECOLE DE NIVEAU ELEMENTAIRE,SAINTE-ELISABETH DE PLAISANCE,Privé
1695,Ecole primaire publique Sibelle,75114,PARIS,75014,75,651433.700000003,6858647.4045,13 avenue de la Sibelle,ECOLE DE NIVEAU ELEMENTAIRE,SIBELLE,Public
1700,Ecole primaire privée Sainte Marie de Sion,75106,PARIS,75006,75,650993.100000001,6860413.2045,93 rue Notre Dame des Champs,ECOLE DE NIVEAU ELEMENTAIRE,SAINTE-MARIE DE SION,Privé
1701,Ecole primaire privée Sainte Jeanne d'Arc,75113,PARIS,75013,75,653849.299999997,6859164.6045,24 bis rue Charcot,ECOLE DE NIVEAU ELEMENTAIRE,SAINTE-JEANNE D'ARC,Privé
1702,Ecole primaire privée Sainte Marie,75118,PARIS,75018,75,652473.5,6866339.4045,8 rue Championnet,ECOLE DE NIVEAU ELEMENTAIRE,SAINTE-MARIE,Privé
1703,Ecole primaire privée Le Sacré-Coeur,75118,PARIS,75018,75,653185.799999997,6866160.3045,7 rue Jean Cottin,ECOLE DE NIVEAU ELEMENTAIRE,LE SACRE-COEUR,Privé
