objectid,nom,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,denominati,patronyme
1089,Collège privé Saint Jean de Passy,PARIS,75016,75,647054.899999999,6861845.7045,72 RUE RAYNOUARD,COLLEGE PRIVE,SAINT-JEAN DE PASSY
1090,Collège privé Ecole Alsacienne,PARIS,75006,75,651105.799999997,6860312.4045,109 RUE NOTRE DAME DES CHAMPS,COLLEGE PRIVE,ECOLE ALSACIENNE
1091,Collège privé La Tour,PARIS,75016,75,647091.0,6862634.2045,86 RUE DE LA TOUR,COLLEGE PRIVE,LA TOUR
1092,Collège privé Saint Louis de Gonzague,PARIS,75016,75,647576.700000003,6862408.3045,12 RUE BENJAMIN FRANKLIN,COLLEGE PRIVE,SAINT-LOUIS DE GONZAGUE
1093,Collège privé Pascal,PARIS,75016,75,646611.399999999,6863248.2045,33 boulevard LANNES,COLLEGE PRIVE,PASCAL
1094,Collège privé Gerson,PARIS,75016,75,646813.0,6862542.0045,31 RUE DE LA POMPE,COLLEGE PRIVE,GERSON
1095,Collège privé Sinaï,PARIS,75018,75,653515.5,6866240.7045,2 RUE TRISTAN TZARA,COLLEGE PRIVE,SINAI
1096,Collège privé Thérèse Chappuis,PARIS,75007,75,650043.399999999,6861436.4045,52 RUE VANEAU,COLLEGE PRIVE,THERESE CHAPPUIS
1097,Collège privé Sainte Marie,PARIS,75013,75,652494.899999999,6858884.4045,49 RUE BOBILLOT,COLLEGE PRIVE,SAINTE-MARIE
1098,Collège privé Saint Joseph,PARIS,75015,75,648096.399999999,6860549.9045,13 place ETIENNE PERNET,COLLEGE PRIVE,SAINT-JOSEPH
1099,Collège privé Saint Georges,PARIS,75019,75,654131.5,6864773.4045,19 RUE BOURET,COLLEGE PRIVE,SAINT-GEORGES
1100,Collège privé Sainte Louise,PARIS,75020,75,655103.399999999,6863770.5045,29 RUE DES ENVIERGES,COLLEGE PRIVE,SAINTE-LOUISE
1101,Collège privé Ozar Hatorah,PARIS,75011,75,654373.899999999,6863534.1045,34 RUE DU MOULIN JOLY,COLLEGE PRIVE,OZAR HATORAH
1102,Collège privé Notre-Dame de Sion,PARIS,75006,75,650895.299999997,6860626.2045,61 RUE NOTRE DAME DES CHAMPS,COLLEGE PRIVE,NOTRE-DAME DE SION
1103,Collège privé pour handicapés Regain Tournesol,PARIS,75012,75,655001.100000001,6859518.3045,22 RUE GABRIEL LAME,COLLEGE PRIVE HANDICAPES,REGAIN TOURNESOL
